date,material_id,daily_demand,actual_lead_time_days,nominal_lead_time_days,lt_deviation_days,transit_delay_days,delay_event,stock_level,stock_cover_days,po_slippage_days,qi_rejection,demand_rolling_slope,safety_stock,moq,transit_risk_level,month_sin,month_cos,dow_sin,month,quarter,day_of_year,exception_label
2020-01-01,FG-100001,6.643,7,7,0,0.0,0,200.0,30.11,0,0,0.0,25,10,0,0.5,0.866,0.9749,1,1,1,RESCHEDULE_IN
2020-01-02,FG-100001,5.869,8,7,1,0.0,0,194.13,33.08,0,0,0.0,25,10,0,0.5,0.866,0.4339,1,1,2,RESCHEDULE_IN
2020-01-03,FG-100001,7.15,8,7,1,0.0,0,186.98,26.15,0,0,0.0,25,10,0,0.5,0.866,-0.4339,1,1,3,RESCHEDULE_IN
2020-01-04,FG-100001,7.378,6,7,-1,0.0,0,179.6,24.34,0,1,0.0,25,10,0,0.5,0.866,-0.9749,1,1,4,RESCHEDULE_IN
2020-01-05,FG-100001,5.494,7,7,0,0.0,0,174.11,31.69,0,0,0.0,25,10,0,0.5,0.866,-0.7818,1,1,5,RESCHEDULE_IN
2020-01-06,FG-100001,5.996,7,7,0,0.0,0,168.11,28.04,7,0,-0.07886,25,10,0,0.5,0.866,0.0,1,1,6,RESCHEDULE_IN
2020-01-07,FG-100001,7.034,7,7,0,0.0,0,161.08,22.9,0,0,-0.118,25,10,0,0.5,0.866,0.7818,1,1,7,RESCHEDULE_IN
2020-01-08,FG-100001,6.759,6,7,-1,0.0,0,154.32,22.83,0,0,-0.00808,25,10,0,0.5,0.866,0.9749,1,1,8,RESCHEDULE_IN
2020-01-09,FG-100001,6.983,7,7,0,0.0,0,197.75,28.32,0,0,0.01543,25,10,0,0.5,0.866,0.4339,1,1,9,RESCHEDULE_IN
2020-01-10,FG-100001,6.395,7,7,0,0.0,0,191.35,29.92,4,0,0.04033,25,10,0,0.5,0.866,-0.4339,1,1,10,RESCHEDULE_IN
2020-01-11,FG-100001,7.582,7,7,0,0.0,0,183.77,24.24,0,0,0.01871,25,10,0,0.5,0.866,-0.9749,1,1,11,RESCHEDULE_IN
2020-01-12,FG-100001,7.47,7,7,0,0.0,0,176.3,23.6,0,0,0.06004,25,10,0,0.5,0.866,-0.7818,1,1,12,RESCHEDULE_IN
2020-01-13,FG-100001,6.924,7,7,0,0.0,0,169.38,24.46,2,0,0.07726,25,10,0,0.5,0.866,0.0,1,1,13,RESCHEDULE_IN
2020-01-14,FG-100001,7.582,8,7,1,0.0,0,161.79,21.34,0,0,0.06711,25,10,0,0.5,0.866,0.7818,1,1,14,RESCHEDULE_IN
2020-01-15,FG-100001,7.056,6,7,-1,0.0,0,154.74,21.93,0,0,0.07762,25,10,0,0.5,0.866,0.9749,1,1,15,RESCHEDULE_IN
2020-01-16,FG-100001,6.092,7,7,0,0.0,0,148.65,24.4,0,0,0.06937,25,10,0,0.5,0.866,0.4339,1,1,16,RESCHEDULE_IN
2020-01-17,FG-100001,6.83,7,7,0,0.0,0,141.82,20.76,0,0,0.04105,25,10,0,0.5,0.866,-0.4339,1,1,17,RESCHEDULE_IN
2020-01-18,FG-100001,5.889,8,7,1,0.0,0,135.93,23.08,0,0,0.03528,25,10,0,0.5,0.866,-0.9749,1,1,18,RESCHEDULE_IN
2020-01-19,FG-100001,7.014,6,7,-1,0.0,0,128.91,18.38,0,0,0.0141,25,10,0,0.5,0.866,-0.7818,1,1,19,RESCHEDULE_IN
2020-01-20,FG-100001,6.36,6,7,-1,0.0,0,122.55,19.27,0,0,0.01648,25,10,0,0.5,0.866,0.0,1,1,20,NO_EXCEPTION
2020-01-21,FG-100001,6.233,6,7,-1,0.0,0,116.32,18.66,0,0,0.00863,25,10,0,0.5,0.866,0.7818,1,1,21,NO_EXCEPTION
2020-01-22,FG-100001,5.894,7,7,0,0.0,0,110.43,18.74,0,0,0.00106,25,10,0,0.5,0.866,0.9749,1,1,22,NO_EXCEPTION
2020-01-23,FG-100001,7.09,6,7,-1,0.0,0,103.34,14.58,0,0,-0.00865,25,10,0,0.5,0.866,0.4339,1,1,23,NO_EXCEPTION
2020-01-24,FG-100001,6.231,7,7,0,0.0,0,97.11,15.58,0,0,-0.00295,25,10,0,0.5,0.866,-0.4339,1,1,24,NO_EXCEPTION
2020-01-25,FG-100001,6.087,7,7,0,0.0,0,136.22,22.38,0,0,-0.00712,25,10,0,0.5,0.866,-0.9749,1,1,25,RESCHEDULE_IN
2020-01-26,FG-100001,6.183,7,7,0,0.0,0,130.04,21.03,0,0,-0.01163,25,10,0,0.5,0.866,-0.7818,1,1,26,RESCHEDULE_IN
2020-01-27,FG-100001,6.818,7,7,0,0.0,0,167.33,24.54,0,1,-0.01426,25,10,0,0.5,0.866,0.0,1,1,27,RESCHEDULE_IN
2020-01-28,FG-100001,6.793,7,7,0,0.0,0,160.54,23.63,0,0,-0.01118,25,10,0,0.5,0.866,0.7818,1,1,28,RESCHEDULE_IN
2020-01-29,FG-100001,6.919,7,7,0,0.0,0,153.62,22.2,0,0,-0.00883,25,10,0,0.5,0.866,0.9749,1,1,29,RESCHEDULE_IN
2020-01-30,FG-100001,7.035,7,7,0,0.0,0,146.58,20.84,0,0,-0.006,25,10,0,0.5,0.866,0.4339,1,1,30,RESCHEDULE_IN
2020-01-31,FG-100001,8.314,7,7,0,0.0,0,138.27,16.63,0,0,-0.00291,25,10,0,0.5,0.866,-0.4339,1,1,31,RESCHEDULE_IN
2020-02-01,FG-100001,6.668,7,7,0,0.0,0,131.6,19.74,0,0,0.00764,25,10,0,0.866,0.5,-0.9749,2,1,32,RESCHEDULE_IN
2020-02-02,FG-100001,6.689,8,7,1,0.0,0,124.91,18.67,0,0,0.00151,25,10,0,0.866,0.5,-0.7818,2,1,33,NO_EXCEPTION
2020-02-03,FG-100001,6.561,7,7,0,0.0,0,118.35,18.04,0,0,0.00398,25,10,0,0.866,0.5,0.0,2,1,34,NO_EXCEPTION
2020-02-04,FG-100001,7.667,6,7,-1,0.0,0,110.68,14.44,4,0,0.00741,25,10,0,0.866,0.5,0.7818,2,1,35,NO_EXCEPTION
2020-02-05,FG-100001,8.111,7,7,0,0.0,0,102.57,12.65,0,0,0.00534,25,10,0,0.866,0.5,0.9749,2,1,36,NO_EXCEPTION
2020-02-06,FG-100001,7.253,6,7,-1,0.0,0,95.32,13.14,6,0,0.00863,25,10,0,0.866,0.5,0.4339,2,1,37,NO_EXCEPTION
2020-02-07,FG-100001,6.748,8,7,1,0.0,0,88.57,13.13,0,0,0.01261,25,10,0,0.866,0.5,-0.4339,2,1,38,NO_EXCEPTION
2020-02-08,FG-100001,6.768,8,7,1,0.0,0,81.8,12.09,0,0,0.01133,25,10,0,0.866,0.5,-0.9749,2,1,39,NO_EXCEPTION
2020-02-09,FG-100001,7.846,7,7,0,0.0,0,73.96,9.43,0,0,0.01173,25,10,0,0.866,0.5,-0.7818,2,1,40,NO_EXCEPTION
2020-02-10,FG-100001,7.884,7,7,0,0.0,0,66.07,8.38,1,0,0.01513,25,10,0,0.866,0.5,0.0,2,1,41,EXPEDITE
2020-02-11,FG-100001,7.688,7,7,0,0.0,0,58.39,7.59,0,0,0.02631,25,10,0,0.866,0.5,0.7818,2,1,42,EXPEDITE
2020-02-12,FG-100001,6.75,7,7,0,0.0,0,51.64,7.65,0,0,0.03533,25,10,0,0.866,0.5,0.9749,2,1,43,EXPEDITE
2020-02-13,FG-100001,7.324,7,7,0,0.0,0,44.31,6.05,0,0,0.03442,25,10,0,0.866,0.5,0.4339,2,1,44,EXPEDITE
2020-02-14,FG-100001,7.159,7,7,0,0.0,0,37.15,5.19,0,0,0.04184,25,10,0,0.866,0.5,-0.4339,2,1,45,EXPEDITE
2020-02-15,FG-100001,7.143,8,7,1,0.0,0,30.01,4.2,0,0,0.04468,25,10,0,0.866,0.5,-0.9749,2,1,46,EXPEDITE
2020-02-16,FG-100001,7.505,7,7,0,0.0,0,22.51,3.0,7,0,0.04072,25,10,0,0.866,0.5,-0.7818,2,1,47,EXPEDITE
2020-02-17,FG-100001,6.973,7,7,0,0.0,0,15.53,2.23,0,0,0.04372,25,10,0,0.866,0.5,0.0,2,1,48,EXPEDITE
2020-02-18,FG-100001,7.203,6,7,-1,0.0,0,8.33,1.16,0,0,0.03649,25,10,0,0.866,0.5,0.7818,2,1,49,SHORTAGE
2020-02-19,FG-100001,6.726,6,7,-1,0.0,0,1.6,0.24,0,0,0.03802,25,10,0,0.866,0.5,0.9749,2,1,50,SHORTAGE
2020-02-20,FG-100001,6.823,6,7,-1,0.0,0,0.0,0.0,0,0,0.03188,25,10,0,0.866,0.5,0.4339,2,1,51,SHORTAGE
2020-02-21,FG-100001,7.015,7,7,0,0.0,0,0.0,0.0,0,0,0.02533,25,10,0,0.866,0.5,-0.4339,2,1,52,SHORTAGE
2020-02-22,FG-100001,5.625,8,7,1,0.0,0,0.0,0.0,0,0,0.01742,25,10,0,0.866,0.5,-0.9749,2,1,53,SHORTAGE
2020-02-23,FG-100001,6.38,8,7,1,0.0,0,0.0,0.0,0,0,0.00829,25,10,0,0.866,0.5,-0.7818,2,1,54,SHORTAGE
2020-02-24,FG-100001,6.305,6,7,-1,0.0,0,0.0,0.0,0,0,-0.00124,25,10,0,0.866,0.5,0.0,2,1,55,SHORTAGE
2020-02-25,FG-100001,6.236,9,7,2,1.19,1,50.52,8.1,0,0,-0.01231,25,10,0,0.866,0.5,0.7818,2,1,56,EXPEDITE
2020-02-26,FG-100001,6.539,8,7,1,0.0,0,43.98,6.73,0,0,-0.02326,25,10,0,0.866,0.5,0.9749,2,1,57,EXPEDITE
2020-02-27,FG-100001,7.818,7,7,0,0.0,0,36.17,4.63,0,0,-0.02791,25,10,0,0.866,0.5,0.4339,2,1,58,EXPEDITE
2020-02-28,FG-100001,6.294,7,7,0,0.0,0,29.87,4.75,0,0,-0.02434,25,10,0,0.866,0.5,-0.4339,2,1,59,EXPEDITE
2020-02-29,FG-100001,7.665,6,7,-1,0.0,0,22.21,2.9,7,0,-0.0302,25,10,0,0.866,0.5,-0.9749,2,1,60,EXPEDITE
2020-03-01,FG-100001,5.897,7,7,0,0.0,0,16.31,2.77,0,0,-0.02614,25,10,0,1.0,0.0,-0.7818,3,1,61,EXPEDITE
2020-03-02,FG-100001,6.951,6,7,-1,0.0,0,9.36,1.35,0,0,-0.02494,25,10,0,1.0,0.0,0.0,3,1,62,SHORTAGE
2020-03-03,FG-100001,7.409,7,7,0,0.0,0,1.95,0.26,0,0,-0.02721,25,10,0,1.0,0.0,0.7818,3,1,63,SHORTAGE
2020-03-04,FG-100001,7.813,7,7,0,1.17,1,0.0,0.0,0,0,-0.02652,25,10,0,1.0,0.0,0.9749,3,1,64,SHORTAGE
2020-03-05,FG-100001,7.988,7,7,0,0.0,0,0.0,0.0,0,0,-0.02442,25,10,0,1.0,0.0,0.4339,3,1,65,SHORTAGE
2020-03-06,FG-100001,8.117,8,7,1,0.0,0,0.0,0.0,0,0,-0.01412,25,10,0,1.0,0.0,-0.4339,3,1,66,SHORTAGE
2020-03-07,FG-100001,7.301,7,7,0,0.0,0,0.0,0.0,5,0,-7e-05,25,10,0,1.0,0.0,-0.9749,3,1,67,SHORTAGE
2020-03-08,FG-100001,7.239,7,7,0,0.81,1,0.0,0.0,4,0,0.0028,25,10,0,1.0,0.0,-0.7818,3,1,68,SHORTAGE
2020-03-09,FG-100001,8.247,6,7,-1,0.0,0,0.0,0.0,0,0,0.00176,25,10,0,1.0,0.0,0.0,3,1,69,SHORTAGE
2020-03-10,FG-100001,7.434,7,7,0,0.0,0,45.8,6.16,0,0,0.00715,25,10,0,1.0,0.0,0.7818,3,1,70,EXPEDITE
2020-03-11,FG-100001,6.581,7,7,0,0.0,0,39.22,5.96,0,0,0.01406,25,10,0,1.0,0.0,0.9749,3,1,71,EXPEDITE
2020-03-12,FG-100001,6.64,6,7,-1,0.0,0,32.58,4.91,0,0,0.01592,25,10,0,1.0,0.0,0.4339,3,1,72,EXPEDITE
2020-03-13,FG-100001,6.737,7,7,0,0.0,0,25.84,3.84,0,0,0.01739,25,10,0,1.0,0.0,-0.4339,3,1,73,EXPEDITE
2020-03-14,FG-100001,7.701,7,7,0,0.0,0,18.14,2.36,0,0,0.01348,25,10,0,1.0,0.0,-0.9749,3,1,74,EXPEDITE
2020-03-15,FG-100001,7.348,6,7,-1,0.0,0,10.79,1.47,0,0,0.01976,25,10,0,1.0,0.0,-0.7818,3,1,75,SHORTAGE
2020-03-16,FG-100001,7.643,7,7,0,0.0,0,3.15,0.41,0,0,0.02245,25,10,0,1.0,0.0,0.0,3,1,76,SHORTAGE
2020-03-17,FG-100001,6.751,8,7,1,0.0,0,0.0,0.0,0,0,0.02684,25,10,0,1.0,0.0,0.7818,3,1,77,SHORTAGE
2020-03-18,FG-100001,7.07,7,7,0,0.0,0,0.0,0.0,7,0,0.02776,25,10,0,1.0,0.0,0.9749,3,1,78,SHORTAGE
2020-03-19,FG-100001,7.305,7,7,0,0.0,0,0.0,0.0,6,0,0.0274,25,10,0,1.0,0.0,0.4339,3,1,79,SHORTAGE
2020-03-20,FG-100001,6.592,7,7,0,0.0,0,0.0,0.0,0,0,0.0301,25,10,0,1.0,0.0,-0.4339,3,1,80,SHORTAGE
2020-03-21,FG-100001,7.053,6,7,-1,0.0,0,0.0,0.0,7,0,0.02487,25,10,0,1.0,0.0,-0.9749,3,1,81,SHORTAGE
2020-03-22,FG-100001,6.261,7,7,0,0.0,0,0.0,0.0,0,0,0.02333,25,10,0,1.0,0.0,-0.7818,3,1,82,SHORTAGE
2020-03-23,FG-100001,6.442,7,7,0,0.0,0,0.0,0.0,0,0,0.01791,25,10,0,1.0,0.0,0.0,3,1,83,SHORTAGE
2020-03-24,FG-100001,6.43,7,7,0,0.0,0,0.0,0.0,0,0,0.00441,25,10,0,1.0,0.0,0.7818,3,1,84,SHORTAGE
2020-03-25,FG-100001,5.905,7,7,0,0.0,0,0.0,0.0,0,0,-0.00432,25,10,0,1.0,0.0,0.9749,3,1,85,SHORTAGE
2020-03-26,FG-100001,7.077,7,7,0,0.0,0,0.0,0.0,6,0,-0.01698,25,10,0,1.0,0.0,0.4339,3,1,86,SHORTAGE
2020-03-27,FG-100001,6.489,8,7,1,0.39,1,0.0,0.0,0,0,-0.02238,25,10,0,1.0,0.0,-0.4339,3,1,87,SHORTAGE
2020-03-28,FG-100001,6.892,7,7,0,0.0,0,0.0,0.0,0,0,-0.02986,25,10,0,1.0,0.0,-0.9749,3,1,88,SHORTAGE
2020-03-29,FG-100001,7.307,5,7,-2,0.0,0,0.0,0.0,0,0,-0.02589,25,10,0,1.0,0.0,-0.7818,3,1,89,SHORTAGE
2020-03-30,FG-100001,7.384,8,7,1,0.0,0,51.15,6.93,0,0,-0.02934,25,10,0,1.0,0.0,0.0,3,1,90,EXPEDITE
2020-03-31,FG-100001,7.647,5,7,-2,0.0,0,43.51,5.69,0,0,-0.0233,25,10,0,1.0,0.0,0.7818,3,1,91,EXPEDITE
2020-04-01,FG-100001,7.2,7,7,0,0.0,0,36.31,5.04,0,0,-0.02762,25,10,0,0.866,-0.5,0.9749,4,2,92,EXPEDITE
2020-04-02,FG-100001,7.057,8,7,1,0.0,0,29.25,4.14,0,0,-0.02833,25,10,0,0.866,-0.5,0.4339,4,2,93,EXPEDITE
2020-04-03,FG-100001,7.399,7,7,0,0.0,0,21.85,2.95,0,0,-0.02692,25,10,0,0.866,-0.5,-0.4339,4,2,94,EXPEDITE
2020-04-04,FG-100001,6.263,6,7,-1,0.0,0,15.59,2.49,6,0,-0.02037,25,10,0,0.866,-0.5,-0.9749,4,2,95,EXPEDITE
2020-04-05,FG-100001,6.496,6,7,-1,0.0,0,9.09,1.4,4,0,-0.01975,25,10,0,0.866,-0.5,-0.7818,4,2,96,SHORTAGE
2020-04-06,FG-100001,6.627,8,7,1,0.0,0,2.47,0.37,4,0,-0.01597,25,10,0,0.866,-0.5,0.0,4,2,97,SHORTAGE
2020-04-07,FG-100001,6.895,6,7,-1,0.0,0,35.64,5.17,0,0,-0.01625,25,10,0,0.866,-0.5,0.7818,4,2,98,EXPEDITE
2020-04-08,FG-100001,7.965,8,7,1,0.0,0,27.67,3.47,0,0,-0.01493,25,10,0,0.866,-0.5,0.9749,4,2,99,EXPEDITE
2020-04-09,FG-100001,6.946,7,7,0,0.0,0,20.73,2.98,0,0,0.0004,25,10,0,0.866,-0.5,0.4339,4,2,100,EXPEDITE
2020-04-10,FG-100001,7.308,7,7,0,0.8,1,13.42,1.84,0,0,0.00366,25,10,0,0.866,-0.5,-0.4339,4,2,101,EXPEDITE
2020-04-11,FG-100001,8.513,7,7,0,0.0,0,4.91,0.58,0,0,0.0036,25,10,0,0.866,-0.5,-0.9749,4,2,102,SHORTAGE
2020-04-12,FG-100001,7.191,6,7,-1,0.0,0,0.0,0.0,0,0,0.0114,25,10,0,0.866,-0.5,-0.7818,4,2,103,SHORTAGE
2020-04-13,FG-100001,7.909,8,7,1,0.0,0,0.0,0.0,0,0,0.01051,25,10,0,0.866,-0.5,0.0,4,2,104,SHORTAGE
2020-04-14,FG-100001,6.588,7,7,0,0.0,0,0.0,0.0,0,0,0.02069,25,10,0,0.866,-0.5,0.7818,4,2,105,SHORTAGE
2020-04-15,FG-100001,7.014,6,7,-1,0.0,0,0.0,0.0,0,0,0.01983,25,10,0,0.866,-0.5,0.9749,4,2,106,SHORTAGE
2020-04-16,FG-100001,6.386,7,7,0,0.0,0,0.0,0.0,0,0,0.02408,25,10,0,0.866,-0.5,0.4339,4,2,107,SHORTAGE
2020-04-17,FG-100001,6.719,6,7,-1,0.0,0,0.0,0.0,0,0,0.01841,25,10,0,0.866,-0.5,-0.4339,4,2,108,SHORTAGE
2020-04-18,FG-100001,7.439,8,7,1,0.0,0,0.0,0.0,0,0,0.01725,25,10,0,0.866,-0.5,-0.9749,4,2,109,SHORTAGE
2020-04-19,FG-100001,5.611,6,7,-1,0.0,0,0.0,0.0,3,0,0.02252,25,10,0,0.866,-0.5,-0.7818,4,2,110,SHORTAGE
2020-04-20,FG-100001,7.01,8,7,1,0.0,0,0.0,0.0,0,0,0.01101,25,10,0,0.866,-0.5,0.0,4,2,111,SHORTAGE
2020-04-21,FG-100001,6.832,7,7,0,0.0,0,0.0,0.0,0,0,0.01215,25,10,0,0.866,-0.5,0.7818,4,2,112,SHORTAGE
2020-04-22,FG-100001,6.254,6,7,-1,0.0,0,0.0,0.0,0,0,0.00669,25,10,0,0.866,-0.5,0.9749,4,2,113,SHORTAGE
2020-04-23,FG-100001,5.685,7,7,0,0.0,0,0.0,0.0,5,0,-0.0015,25,10,0,0.866,-0.5,0.4339,4,2,114,SHORTAGE
2020-04-24,FG-100001,6.713,7,7,0,0.0,0,0.0,0.0,0,0,-0.01336,25,10,0,0.866,-0.5,-0.4339,4,2,115,SHORTAGE
2020-04-25,FG-100001,6.35,6,7,-1,0.0,0,0.0,0.0,0,0,-0.02187,25,10,0,0.866,-0.5,-0.9749,4,2,116,SHORTAGE
2020-04-26,FG-100001,6.922,7,7,0,0.0,0,0.0,0.0,0,0,-0.02501,25,10,0,0.866,-0.5,-0.7818,4,2,117,SHORTAGE
2020-04-27,FG-100001,6.855,6,7,-1,0.0,0,0.0,0.0,0,0,-0.02819,25,10,0,0.866,-0.5,0.0,4,2,118,SHORTAGE
2020-04-28,FG-100001,8.04,6,7,-1,0.0,0,0.0,0.0,0,0,-0.02921,25,10,0,0.866,-0.5,0.7818,4,2,119,SHORTAGE
2020-04-29,FG-100001,6.86,7,7,0,0.0,0,0.0,0.0,4,0,-0.01971,25,10,0,0.866,-0.5,0.9749,4,2,120,SHORTAGE
2020-04-30,FG-100001,6.402,6,7,-1,0.0,0,0.0,0.0,0,0,-0.01761,25,10,0,0.866,-0.5,0.4339,4,2,121,SHORTAGE
2020-05-01,FG-100001,7.365,7,7,0,0.0,0,0.0,0.0,5,0,-0.01643,25,10,0,0.5,-0.866,-0.4339,5,2,122,SHORTAGE
2020-05-02,FG-100001,7.496,6,7,-1,0.0,0,0.0,0.0,0,0,-0.01156,25,10,0,0.5,-0.866,-0.9749,5,2,123,SHORTAGE
2020-05-03,FG-100001,8.434,6,7,-1,0.0,0,41.25,4.89,0,0,-0.0069,25,10,0,0.5,-0.866,-0.7818,5,2,124,EXPEDITE
2020-05-04,FG-100001,8.129,8,7,1,0.21,1,33.12,4.07,2,0,0.00597,25,10,0,0.5,-0.866,0.0,5,2,125,EXPEDITE
2020-05-05,FG-100001,7.833,7,7,0,0.0,0,25.29,3.23,1,0,0.00857,25,10,0,0.5,-0.866,0.7818,5,2,126,EXPEDITE
2020-05-06,FG-100001,8.718,7,7,0,0.0,0,16.57,1.9,0,0,0.01005,25,10,0,0.5,-0.866,0.9749,5,2,127,EXPEDITE
2020-05-07,FG-100001,6.719,6,7,-1,0.0,0,53.37,7.94,0,0,0.01754,25,10,0,0.5,-0.866,0.4339,5,2,128,NO_EXCEPTION
2020-05-08,FG-100001,7.136,7,7,0,0.0,0,46.23,6.48,0,0,0.01305,25,10,0,0.5,-0.866,-0.4339,5,2,129,EXPEDITE
