date,material_id,description,mat_type,supplier,daily_demand,actual_lead_time_days,nominal_lead_time_days,lt_deviation_days,transit_delay_days,delay_event,stock_level,stock_cover_days,po_slippage_days,qi_rejection,safety_stock,reorder_point,moq,transit_risk_level,demand_rolling_slope,month_sin,month_cos,dow_sin,month,quarter,day_of_year,exception_label
2020-01-01,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.872,8,7,1,0.0,0,42.0,6.11,0,0,25,30,10,0,0.0,0.5,0.866,0.9749,1,1,1,EXPEDITE
2020-01-02,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.069,8,7,1,0.0,0,35.93,5.92,0,0,25,30,10,0,0.0,0.5,0.866,0.4339,1,1,2,EXPEDITE
2020-01-03,FG-100001,E-Motor Assembly,FERT,Vendor-managed,7.391,8,7,1,0.0,0,28.54,3.86,0,0,25,30,10,0,0.0,0.5,0.866,-0.4339,1,1,3,EXPEDITE
2020-01-04,FG-100001,E-Motor Assembly,FERT,Vendor-managed,7.624,6,7,-1,0.0,0,20.92,2.74,0,1,25,30,10,0,0.0,0.5,0.866,-0.9749,1,1,4,EXPEDITE
2020-01-05,FG-100001,E-Motor Assembly,FERT,Vendor-managed,5.675,7,7,0,0.0,0,15.24,2.69,0,0,25,30,10,0,0.0,0.5,0.866,-0.7818,1,1,5,EXPEDITE
2020-01-06,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.191,8,7,1,0.0,0,9.05,1.46,7,0,25,30,10,0,-0.08405,0.5,0.866,0.0,1,1,6,SHORTAGE
2020-01-07,FG-100001,E-Motor Assembly,FERT,Vendor-managed,7.26,7,7,0,0.0,0,1.79,0.25,0,0,25,30,10,0,-0.12448,0.5,0.866,0.7818,1,1,7,SHORTAGE
2020-01-08,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.973,6,7,-1,0.0,0,0.0,0.0,0,0,25,30,10,0,-0.011,0.5,0.866,0.9749,1,1,8,SHORTAGE
2020-01-09,FG-100001,E-Motor Assembly,FERT,Vendor-managed,7.202,7,7,0,0.0,0,44.79,6.22,0,0,25,30,10,0,0.01329,0.5,0.866,0.4339,1,1,9,EXPEDITE
2020-01-10,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.593,7,7,0,0.0,0,38.2,5.79,4,0,25,30,10,0,0.03898,0.5,0.866,-0.4339,1,1,10,EXPEDITE
2020-01-11,FG-100001,E-Motor Assembly,FERT,Vendor-managed,7.814,7,7,0,0.0,0,30.38,3.89,0,0,25,30,10,0,0.01671,0.5,0.866,-0.9749,1,1,11,EXPEDITE
2020-01-12,FG-100001,E-Motor Assembly,FERT,Vendor-managed,7.696,7,7,0,0.0,0,22.69,2.95,0,0,25,30,10,0,0.05932,0.5,0.866,-0.7818,1,1,12,EXPEDITE
2020-01-13,FG-100001,E-Motor Assembly,FERT,Vendor-managed,7.13,7,7,0,0.0,0,15.55,2.18,2,0,25,30,10,0,0.07706,0.5,0.866,0.0,1,1,13,EXPEDITE
2020-01-14,FG-100001,E-Motor Assembly,FERT,Vendor-managed,7.806,8,7,1,0.0,0,7.75,0.99,0,0,25,30,10,0,0.0666,0.5,0.866,0.7818,1,1,14,SHORTAGE
2020-01-15,FG-100001,E-Motor Assembly,FERT,Vendor-managed,7.262,6,7,-1,0.0,0,0.49,0.07,0,0,25,30,10,0,0.07742,0.5,0.866,0.9749,1,1,15,SHORTAGE
2020-01-16,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.267,7,7,0,0.0,0,0.0,0.0,0,0,25,30,10,0,0.06892,0.5,0.866,0.4339,1,1,16,SHORTAGE
2020-01-17,FG-100001,E-Motor Assembly,FERT,Vendor-managed,7.024,7,7,0,0.0,0,0.0,0.0,0,0,25,30,10,0,0.03977,0.5,0.866,-0.4339,1,1,17,SHORTAGE
2020-01-18,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.054,8,7,1,0.0,0,0.0,0.0,0,0,25,30,10,0,0.03383,0.5,0.866,-0.9749,1,1,18,SHORTAGE
2020-01-19,FG-100001,E-Motor Assembly,FERT,Vendor-managed,7.208,6,7,-1,0.0,0,0.0,0.0,0,0,25,30,10,0,0.01205,0.5,0.866,-0.7818,1,1,19,SHORTAGE
2020-01-20,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.533,6,7,-1,0.0,0,0.0,0.0,0,0,25,30,10,0,0.01448,0.5,0.866,0.0,1,1,20,SHORTAGE
2020-01-21,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.4,5,7,-2,0.0,0,0.0,0.0,0,0,25,30,10,0,0.00641,0.5,0.866,0.7818,1,1,21,SHORTAGE
2020-01-22,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.05,7,7,0,0.0,0,0.0,0.0,0,0,25,30,10,0,-0.00137,0.5,0.866,0.9749,1,1,22,SHORTAGE
2020-01-23,FG-100001,E-Motor Assembly,FERT,Vendor-managed,7.275,6,7,-1,0.0,0,0.0,0.0,0,0,25,30,10,0,-0.01135,0.5,0.866,0.4339,1,1,23,SHORTAGE
2020-01-24,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.391,7,7,0,0.0,0,0.0,0.0,0,0,25,30,10,0,-0.00551,0.5,0.866,-0.4339,1,1,24,SHORTAGE
2020-01-25,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.241,8,7,1,0.0,0,46.72,7.49,0,0,25,30,10,0,-0.00979,0.5,0.866,-0.9749,1,1,25,EXPEDITE
2020-01-26,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.337,6,7,-1,0.0,0,40.39,6.37,0,0,25,30,10,0,-0.01442,0.5,0.866,-0.7818,1,1,26,EXPEDITE
2020-01-27,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.986,7,7,0,0.0,0,78.6,11.25,0,1,25,30,10,0,-0.01712,0.5,0.866,0.0,1,1,27,NO_EXCEPTION
2020-01-28,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.957,7,7,0,0.0,0,71.64,10.3,0,0,25,30,10,0,-0.01398,0.5,0.866,0.7818,1,1,28,NO_EXCEPTION
2020-01-29,FG-100001,E-Motor Assembly,FERT,Vendor-managed,7.083,8,7,1,0.0,0,64.56,9.11,0,0,25,30,10,0,-0.01157,0.5,0.866,0.9749,1,1,29,EXPEDITE
2020-01-30,FG-100001,E-Motor Assembly,FERT,Vendor-managed,7.199,7,7,0,0.0,0,57.36,7.97,0,0,25,30,10,0,-0.00868,0.5,0.866,0.4339,1,1,30,EXPEDITE
2020-01-31,FG-100001,E-Motor Assembly,FERT,Vendor-managed,8.505,6,7,-1,0.0,0,48.85,5.74,0,0,25,30,10,0,-0.00552,0.5,0.866,-0.4339,1,1,31,EXPEDITE
2020-02-01,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.819,7,7,0,0.0,0,42.03,6.16,0,0,25,30,10,0,0.00528,0.866,0.5,-0.9749,2,1,32,EXPEDITE
2020-02-02,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.838,8,7,1,0.0,0,35.2,5.15,0,0,25,30,10,0,-0.00106,0.866,0.5,-0.7818,2,1,33,EXPEDITE
2020-02-03,FG-100001,E-Motor Assembly,FERT,Vendor-managed,6.704,7,7,0,0.0,0,28.49,4.25,0,0,25,30,10,0,0.0015,0.866,0.5,0.0,2,1,34,EXPEDITE
2020-02-04,FG-100001,E-Motor Assembly,FERT,Vendor-managed,7.831,6,7,-1,0.0,0,20.66,2.64,4,0,25,30,10,0,0.00505,0.866,0.5,0.7818,2,1,35,EXPEDITE
